2013-11-18,4,prostitutes,
2013-11-19,8,prostitutes,
2013-11-14,1,prostitutes,
2013-11-05,1,prostitutes,
2013-11-25,1,prostitutes,
2013-11-24,20,prostitutes,
2013-11-27,108,prostitutes,
2013-11-26,375,prostitutes,
2013-11-21,23,prostitutes,
2013-11-20,8,prostitutes,
2013-11-23,37,prostitutes,
2013-11-22,26,prostitutes,
2013-11-07,1,prostitutes,
2013-11-06,1,prostitutes,
2013-11-16,1,prostitutes,
2013-11-11,1,prostitutes,
2013-11-17,3,prostitutes,
2013-11-12,1,prostitutes,
2013-11-15,2,prostitutes,
